"nome";"telefone";"endereco";"categoria";"horario";"avaliacao";"numAvaliacoes";"link"
"Oliveira tattoo studio Rondonópolis";"(66) 99638-5795";"Rua 6 quadra 3 casa, 9 - Recanto do Parque, Rondonópolis - MT, 78720-072";"Estúdio de tatuagem";"";"4,9";"73";"https://www.google.com/maps/place/Oliveira+tattoo+studio+Rondon%C3%B3polis/data=!4m7!3m6!1s0x9379c75161ad5bf1:0x564e5778553f536b!8m2!3d-16.4676756!4d-54.5661428!16s%2Fg%2F11h02knj8h!19sChIJ8VutYVHHeZMRa1M_VXhXTlY?authuser=0&hl=pt-BR&rclk=1"
"ESPAÇO RAMIR TATTOO E PIERCING";"(66) 99604-2939";"Av. Dom Bosco - Res. Sítio Farias, Rondonópolis - MT, 78700-070";"Estúdio de tatuagem e colocação de piercing";"Abre em breve às 13:00";"5,0";"5";"https://www.google.com/maps/place/ESPA%C3%87O+RAMIR+TATTOO+E+PIERCING/data=!4m7!3m6!1s0x9379c99928294ed3:0xf816b6028f483d33!8m2!3d-16.492182!4d-54.592663!16s%2Fg%2F11qqt_ykpd!19sChIJ004pKJnJeZMRMz1IjwK2Fvg?authuser=0&hl=pt-BR&rclk=1"
"Estúdio MarienInk Tatoo";"(66) 98444-8955";"R. Aparecido Leal Monteiro, 508 - Res. Santa Marina, Rondonópolis - MT, 78700-000";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 19:00";"5,0";"17";"https://www.google.com/maps/place/Est%C3%BAdio+MarienInk+Tatoo/data=!4m7!3m6!1s0x9379c777d5ffa47b:0xcf2c12e484331289!8m2!3d-16.4745078!4d-54.6082624!16s%2Fg%2F11fkcws13m!19sChIJe6T_1XfHeZMRiRIzhOQSLM8?authuser=0&hl=pt-BR&rclk=1"
"Dhonnys Tattoo";"(66) 99646-2571";"Av. Gov. João Ponce de Arruda - Vila Operaria, Rondonópolis - MT, 78720-100";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 22:00";"5,0";"76";"https://www.google.com/maps/place/Dhonnys+Tattoo/data=!4m7!3m6!1s0x9379c9ce525bb8e3:0xddac92bae5df5901!8m2!3d-16.439039!4d-54.620977!16s%2Fg%2F11rsbcqdh6!19sChIJ47hbUs7JeZMRAVnf5bqSrN0?authuser=0&hl=pt-BR&rclk=1"
"Arte Primata";"";"R. I, 318 - Lot. Parque das Rosas, Rondonópolis - MT";"Loja de Roupa";"Aberto ⋅ Fecha às 18:00";"5,0";"6";"https://www.google.com/maps/place/Arte+Primata/data=!4m7!3m6!1s0x9379b958c38b4b51:0x95caefa3a502ea10!8m2!3d-16.4890134!4d-54.5969309!16s%2Fg%2F11mvs_l1m7!19sChIJUUuLw1i5eZMREOoCpaPvypU?authuser=0&hl=pt-BR&rclk=1"
"Kloppel Tattoo & Jheny Piercer";"(66) 99916-2937";"Av. Elias Farah Filho, 163 - Lot. Zé Sobrinho, Rondonópolis - MT, 78711-008";"Estúdio de tatuagem e colocação de piercing";"Aberto ⋅ Fecha às 18:00";"5,0";"50";"https://www.google.com/maps/place/Kloppel+Tattoo+%26+Jheny+Piercer/data=!4m7!3m6!1s0x9379c94f0bb641db:0xd8c611e653f732b0!8m2!3d-16.4399553!4d-54.6591614!16s%2Fg%2F11sr0y7zjm!19sChIJ20G2C0_JeZMRsDL3U-YRxtg?authuser=0&hl=pt-BR&rclk=1"
"Psykru tattoo";"(48) 98845-1485";"Colina Verde, Rondonópolis - MT, 78740";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 17:00";"5,0";"6";"https://www.google.com/maps/place/Psykru+tattoo/data=!4m7!3m6!1s0x9379c9371a33e685:0x2c779eb4312d7800!8m2!3d-16.4852012!4d-54.6102322!16s%2Fg%2F11m9swf8m6!19sChIJheYzGjfJeZMRAHgtMbSedyw?authuser=0&hl=pt-BR&rclk=1"
"Fanny Tattoo-Piercer";"(66) 99203-2629";"R. Oswaldo Correia, 444 - Jardim Paulista, Rondonópolis - MT, 78700-760";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 19:00";"5,0";"3";"https://www.google.com/maps/place/Fanny+Tattoo-Piercer/data=!4m7!3m6!1s0x9379c9f2236d63ed:0x98e8889820aa3a80!8m2!3d-16.4680774!4d-54.6208893!16s%2Fg%2F11s2qnlvs8!19sChIJ7WNtI_LJeZMRgDqqIJiI6Jg?authuser=0&hl=pt-BR&rclk=1"
"Arildo Tattoo e Piercing";"(66) 99648-1675";"Rua mato, R. Mato Grosso, 1545 - Cidade Salmen, Rondonópolis - MT, 78705-577";"Tatuador";"Aberto ⋅ Fecha às 20:00";"4,9";"16";"https://www.google.com/maps/place/Arildo+Tattoo+e+Piercing/data=!4m7!3m6!1s0x9379c973e1a18503:0x98c587a918495398!8m2!3d-16.4639618!4d-54.6560965!16s%2Fg%2F11sz5j29hb!19sChIJA4Wh4XPJeZMRmFNJGKmHxZg?authuser=0&hl=pt-BR&rclk=1"
"Tamires Carvalho Studio de Tatuagem";"(66) 99687-0226";"Av. Rui Barbosa, 2129 - Centro, Rondonópolis - MT, 78700-130";"Tatuador";"Aberto ⋅ Fecha às 18:00";"5,0";"2";"https://www.google.com/maps/place/Tamires+Carvalho+Studio+de+Tatuagem/data=!4m7!3m6!1s0x9379c995b00f3fe7:0x402c97d4027e534b!8m2!3d-16.4671911!4d-54.6312168!16s%2Fg%2F11tsblt8ff!19sChIJ5z8PsJXJeZMRS1N-AtSXLEA?authuser=0&hl=pt-BR&rclk=1"
"Dalila Bomtempo tatuagem micropigmentação e camuflagem de cicatrizes e estrias";"(66) 99207-8968";"Rua Ignez Marrega, número 15 - Bispo Pedro Casaldaliga, Rondonópolis - MT, 78736-102";"Escola de profissionais de beleza";"Aberto ⋅ Fecha às 19:00";"5,0";"10";"https://www.google.com/maps/place/Dalila+Bomtempo+tatuagem+micropigmenta%C3%A7%C3%A3o+e+camuflagem+de+cicatrizes+e+estrias/data=!4m7!3m6!1s0x939daf20aaaa0333:0x7e69ae570a1d6b77!8m2!3d-16.470689!4d-54.5657642!16s%2Fg%2F11j2fpkmfc!19sChIJMwOqqiCvnZMRd2sdCleuaX4?authuser=0&hl=pt-BR&rclk=1"
"Studio Dorns Tattoo";"(66) 99996-4274";"Av. João Ponce de Arruda, 1905 - Centro, Rondonópolis - MT, 78700-260";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 20:00";"5,0";"6";"https://www.google.com/maps/place/Studio+Dorns+Tattoo/data=!4m7!3m6!1s0x9379c93acfe4fbab:0xe7816e61e1c8d580!8m2!3d-16.4666867!4d-54.6354445!16s%2Fg%2F11t_jq8231!19sChIJq_vkzzrJeZMRgNXI4WFugec?authuser=0&hl=pt-BR&rclk=1"
"Ciel Tattoo";"";"R. Mariana Leite de Souza, 438 - Cidade Natal, Rondonópolis - MT, 78720-798";"Estúdio de tatuagem e colocação de piercing";"Aberto ⋅ Fecha às 17:30";"4,5";"16";"https://www.google.com/maps/place/Ciel+Tattoo/data=!4m7!3m6!1s0x9379c8901b9e49c3:0x69526d90eb09d303!8m2!3d-16.4351098!4d-54.6216417!16s%2Fg%2F11g86nx8f4!19sChIJw0meG5DIeZMRA9MJ65BtUmk?authuser=0&hl=pt-BR&rclk=1"
"Dois 7 Tattoo";"(66) 99931-1024";"Av. Rosalvo Miranda, 528 - Jardim Primavera, Rondonópolis - MT, 78725-101";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 21:00";"4,6";"9";"https://www.google.com/maps/place/Dois+7+Tattoo/data=!4m7!3m6!1s0x9379c936a5d571af:0xc0a00ace6789a27d!8m2!3d-16.4504672!4d-54.6180423!16s%2Fg%2F11mvy4y9r_!19sChIJr3HVpTbJeZMRfaKJZ84KoMA?authuser=0&hl=pt-BR&rclk=1"
"Rondon Tattoo Shop";"(66) 99645-8934";"Avenida Vereador Antônio Lourenço Neto 952 Conjunto São José 1, Rondonópolis - MT, 78715-407";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 19:00";"4,8";"18";"https://www.google.com/maps/place/Rondon+Tattoo+Shop/data=!4m7!3m6!1s0x9379c9c4ebde1f41:0xc108b43a47bcf742!8m2!3d-16.4341517!4d-54.64142!16s%2Fg%2F11ghn7mwp1!19sChIJQR_e68TJeZMRQve8Rzq0CME?authuser=0&hl=pt-BR&rclk=1"
"Júnior Tattoo Studio";"(66) 3424-2843";"Av. Benevides de Freitas - Vila Aurora II, Rondonópolis - MT, 78700-370";"Estúdio de tatuagem";"";"4,2";"26";"https://www.google.com/maps/place/J%C3%BAnior+Tattoo+Studio/data=!4m7!3m6!1s0x9379c80bd23af2af:0x918fcff25ed152e3!8m2!3d-16.4687538!4d-54.6125288!16s%2Fg%2F11bw4wm19s!19sChIJr_I60gvIeZMR41LRXvLPj5E?authuser=0&hl=pt-BR&rclk=1"
"Gelson Anicésio GOLD TATTOO INK";"(66) 99677-5057";"R. Otávio Pitaluga - Vila Aurora I, Rondonópolis - MT, 78740-106";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 18:30";"5,0";"5";"https://www.google.com/maps/place/Gelson+Anic%C3%A9sio+GOLD+TATTOO+INK/data=!4m7!3m6!1s0x9379c9b2be380ca9:0xa93139c6b005b4d4!8m2!3d-16.4767377!4d-54.6227906!16s%2Fg%2F11j8k4rrxy!19sChIJqQw4vrLJeZMR1LQFsMY5Mak?authuser=0&hl=pt-BR&rclk=1"
"Dupl Arts Tatoo";"(66) 99677-5057";"Av. Arapongas, 1115-1117 - Jardim Universitario, Rondonópolis - MT, 78750-215";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 19:00";"4,7";"30";"https://www.google.com/maps/place/Dupl+Arts+Tatoo/data=!4m7!3m6!1s0x9379c9a68e5120d7:0xea35bf98c7bf34ba!8m2!3d-16.4588296!4d-54.667432!16s%2Fg%2F11c20sss8q!19sChIJ1yBRjqbJeZMRujS_x5i_Neo?authuser=0&hl=pt-BR&rclk=1"
"Cacal Studio - Tatuagem e Bodypiercing";"(66) 98124-1936";"R. Projetada 2 - Lot. Padre Ezequiel Ramim, Rondonópolis - MT, 78721-335";"Estúdio de tatuagem e colocação de piercing";"Aberto ⋅ Fecha às 22:00";"5,0";"4";"https://www.google.com/maps/place/Cacal+Studio+-+Tatuagem+e+Bodypiercing/data=!4m7!3m6!1s0x9379c9e606eec407:0x3896e2702fc12cd6!8m2!3d-16.4290468!4d-54.6262236!16s%2Fg%2F11lzfztt6v!19sChIJB8TuBubJeZMR1izBL3Diljg?authuser=0&hl=pt-BR&rclk=1"
"LeoTattoo (Estúdio de tatuagem)";"(66) 99998-5568";"R. Alberto Corrêa, 405 - Jardim Ipanema, Rondonópolis - MT, 78745-110";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 17:00";"5,0";"";"https://www.google.com/maps/place/LeoTattoo+%28Est%C3%BAdio+de+tatuagem%29/data=!4m7!3m6!1s0x9379c90098c238fd:0x80aa8fe1fe856ceb!8m2!3d-16.4766678!4d-54.6440483!16s%2Fg%2F11smqz0qml!19sChIJ_TjCmADJeZMR62yF_uGPqoA?authuser=0&hl=pt-BR&rclk=1"
"Roger tattoo arts";"";"Av. Lions Internacional, 855 - Vila Aurora I, Rondonópolis - MT, 78740-046";"Tatuador";"Aberto ⋅ Fecha às 20:00";"5,0";"3";"https://www.google.com/maps/place/Roger+tattoo+arts/data=!4m7!3m6!1s0x9379c90019bff369:0x261d95afc851c86a!8m2!3d-16.4785694!4d-54.6167356!16s%2Fg%2F11y98yslf_!19sChIJafO_GQDJeZMRashRyK-VHSY?authuser=0&hl=pt-BR&rclk=1"
"LeoTattoo (Estúdio de tatuagem)";"(66) 99998-5568";"R. Alberto Corrêa, 405 - Jardim Ipanema, Rondonópolis - MT, 78745-110";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 17:00";"5,0";"";"https://www.google.com/maps/place/LeoTattoo+%28Est%C3%BAdio+de+tatuagem%29/data=!4m7!3m6!1s0x9379c90098c238fd:0x80aa8fe1fe856ceb!8m2!3d-16.4766678!4d-54.6440483!16s%2Fg%2F11smqz0qml!19sChIJ_TjCmADJeZMR62yF_uGPqoA?authuser=0&hl=pt-BR&rclk=1"
"Studio rk tattoo";"(66) 99229-0719";"Rua marginal, R. Boa Esperança, N:422 - Jardim dos Pioneiros, Rondonópolis - MT, 78700-544";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 23:00";"";"";"https://www.google.com/maps/place/Studio+rk+tattoo/data=!4m7!3m6!1s0x9379c9889927073d:0x789daef921a8a774!8m2!3d-16.4608506!4d-54.6190222!16s%2Fg%2F11ldm632s1!19sChIJPQcnmYjJeZMRdKeoIfmunXg?authuser=0&hl=pt-BR&rclk=1"
"Tattoo studio 066";"(66) 99204-7617";"Av. Goiania - Rondonópolis, MT, 78735-808";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 20:30";"5,0";"3";"https://www.google.com/maps/place/Tattoo+studio+066/data=!4m7!3m6!1s0x9379c9dce1436595:0xc71d8cc32ed66900!8m2!3d-16.4349645!4d-54.6428186!16s%2Fg%2F11ldtxs9cx!19sChIJlWVD4dzJeZMRAGnWLsOMHcc?authuser=0&hl=pt-BR&rclk=1"
"Tattoo e barbearia Escorpion";"(66) 97400-0032";"Rua januaria nu: 215 São Sebastião l, Rondonópolis - MT, 78730-240";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 19:00";"";"";"https://www.google.com/maps/place/Tattoo+e+barbearia+Escorpion/data=!4m7!3m6!1s0x9379c9673e037401:0xb61d3d1a332f56b0!8m2!3d-16.456483!4d-54.6092309!16s%2Fg%2F11vyrh4q2g!19sChIJAXQDPmfJeZMRsFYvMxo9HbY?authuser=0&hl=pt-BR&rclk=1"
"Lazão Tattoo";"";"Av. Lions Internacional, 855 - Vila Aurora I, Rondonópolis - MT, 78740-046";"Tatuador";"Aberto ⋅ Fecha à 00:00";"";"";"https://www.google.com/maps/place/Laz%C3%A3o+Tattoo/data=!4m7!3m6!1s0x9379c92ebc84f1ad:0xd24b366ce643ba68!8m2!3d-16.4785694!4d-54.6167356!16s%2Fg%2F11m5kbg_4v!19sChIJrfGEvC7JeZMRaLpD5mw2S9I?authuser=0&hl=pt-BR&rclk=1"
"Studio Tatto Online RONDONÓPOLIS";"(66) 99245-0873";"R. Pres. Castelo Branco, 860 - Vila Operaria, Rondonópolis - MT, 78714-270";"Loja de produtos de beleza";"Aberto ⋅ Fecha às 20:00";"5,0";"6";"https://www.google.com/maps/place/Studio+Tatto+Online+RONDON%C3%93POLIS/data=!4m7!3m6!1s0x9379c9020b029319:0x3b225356981f97e7!8m2!3d-16.4385468!4d-54.6268257!16s%2Fg%2F11vws7c9g_!19sChIJGZMCCwLJeZMR55cfmFZTIjs?authuser=0&hl=pt-BR&rclk=1"
"Luci Tattoo";"(66) 99255-0240";"Av. Leopoldina Pinho Carvalho, 1090 - Vila Aurora I, Rondonópolis - MT, 78740-012";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 17:00";"";"";"https://www.google.com/maps/place/Luci+Tattoo/data=!4m7!3m6!1s0x9379c982cf737d47:0xe45b1c6c954c942!8m2!3d-16.4726273!4d-54.6228566!16s%2Fg%2F11v_60lkpc!19sChIJR31zz4LJeZMRQslUycaxRQ4?authuser=0&hl=pt-BR&rclk=1"
"Leicam Tattoo Studio (Enio)";"(66) 98409-6192";"R. Dom Pedro II - Centro, Rondonópolis - MT, 78740-384";"Estúdio de tatuagem";"";"4,8";"5";"https://www.google.com/maps/place/Leicam+Tattoo+Studio+%28Enio%29/data=!4m7!3m6!1s0x9379c814e9620555:0xf0974fb2a7aea60d!8m2!3d-16.4742658!4d-54.6218718!16s%2Fg%2F11c5rp2c4c!19sChIJVQVi6RTIeZMRDaaup7JPl_A?authuser=0&hl=pt-BR&rclk=1"
"Fernando tattoo";"(66) 99600-5676";"R. Floriano Peixoto, 1428 - Centro, Rondonópolis - MT, 78700-040";"Estúdio de tatuagem";"Aberto ⋅ Fecha às 20:00";"";"";"https://www.google.com/maps/place/Fernando+tattoo/data=!4m7!3m6!1s0x9379c98dd9923807:0xd123986ebec2213c!8m2!3d-16.46969!4d-54.6399833!16s%2Fg%2F11rt6khwp9!19sChIJBziS2Y3JeZMRPCHCvm6YI9E?authuser=0&hl=pt-BR&rclk=1"
"HUDI TATTOO";"(66) 99625-8563";"R. Alberto Corrêa, 405 - Jardim Ipanema, Rondonópolis - MT, 78745-110";"Artista";"Aberto ⋅ Fecha às 19:00";"5,0";"7";"https://www.google.com/maps/place/HUDI+TATTOO/data=!4m7!3m6!1s0x9379c92bd7bd1d9d:0x164afb32ef7b0fdd!8m2!3d-16.4766484!4d-54.6440955!16s%2Fg%2F11l32rgqpd!19sChIJnR291yvJeZMR3Q977zL7ShY?authuser=0&hl=pt-BR&rclk=1"
